year,prestige,industry,hrs1,commute,wrkslf,divorce,spwrkslf,spocc10,spind10,Industry Category,Spouse Industry Category
1986,78.0,colleges and universities,40.0,30.0,someone else,yes,someone else,first-line supervisors of office and administrative support workers,"colleges and universities, including junior colleges",Education,Education
1986,50.0,apparel and accessories,35.0,60.0,someone else,no,someone else,"bailiffs, correctional officers, and jailers","justice, public order, and safety activities",Other,Other
1986,22.0,detective and protective services,40.0,70.0,someone else,yes,someone else,registered nurses,employment services,Other,Other
1986,45.0,crude petroleum and natural gas extractions,45.0,60.0,someone else,no,self-employed,prepress technicians and workers,advertising and related services,Other,Business & Finance
1986,40.0,electric light and power,60.0,25.0,someone else,no,someone else,driver/sales workers and truck drivers,fuel dealers,Other,Other
1986,40.0,motor vehicles and motor vehicle equipment,40.0,20.0,someone else,no,someone else,childcare workers,child day care services,Manufacturing & Engineering,Other
1986,60.0,elementary and secondary schools,35.0,15.0,someone else,no,someone else,carpenters,construction,Education,Manufacturing & Engineering
1986,57.0,"accounting, auditing, and bookkeeping services",80.0,60.0,someone else,no,someone else,registered nurses,hospitals,Other,Healthcare
1986,47.0,insurance,40.0,10.0,someone else,no,someone else,insurance sales agents,insurance carriers and related activities,Business & Finance,Business & Finance
1986,36.0,elementary and secondary schools,15.0,5.0,someone else,yes,someone else,parts salespersons,"wholesale electronic markets, agents and brokers",Education,Other
1986,42.0,"business services, n.e.c.",50.0,15.0,someone else,no,someone else,first-line supervisors of office and administrative support workers,newspaper publishers,Business & Finance,Other
1986,40.0,general building contractors,40.0,45.0,someone else,yes,someone else,dining room and cafeteria attendants and bartender helpers,elementary and secondary schools,Other,Education
1986,50.0,miscellaneous repair services,60.0,20.0,self-employed,no,self-employed,retail salespersons,used merchandise stores,Other,Other
1986,54.0,aircraft and parts,52.0,97.0,someone else,no,someone else,retail salespersons,furniture and home furnishings stores,Other,Other
1986,33.0,beauty shops,42.0,8.0,someone else,no,someone else,miscellaneous entertainment attendants and related workers,motion pictures and video industries,Other,Other
1986,26.0,grain-mill products,32.0,45.0,someone else,no,someone else,laundry and dry-cleaning workers,hospitals,Other,Healthcare
